"Subject","Condition","Type","Sentence","Target_verb","Translation","Score","ClozeScore"
"60","Manner","Manner verb",1,"tirar de","dra",1,34
"60","Manner","Manner verb",2,"arrastrar","släpa",1,34
"60","Manner","Manner verb",3,"rodar","rulla",1,34
"60","Manner","Manner verb",4,"empujar","skjuta",1,34
"59","Control","Manner verb",1,"tirar de","dra",1,36
"59","Control","Manner verb",2,"arrastrar","släpa",1,36
"59","Control","Manner verb",3,"rodar","rulla",1,36
"59","Control","Manner verb",4,"empujar","knuffa",1,36
"59","Control","Path verb",1,"subir","gå uppför",1,36
"59","Control","Path verb",2,"cruzar","gå igenom",1,36
"59","Control","Path verb",3,"entrar","gå in i",1,36
"59","Control","Path verb",4,"bajar","gå nerför",1,36
"58","Manner","Manner verb",1,"tirar de","dra",1,31
"58","Manner","Manner verb",2,"arrastrar","släpa",1,31
"58","Manner","Manner verb",3,"rodar","rulla",1,31
"58","Manner","Manner verb",4,"empujar","puffa",1,31
"57","Path","Path verb",1,"subir","bestiga",1,12
"57","Path","Path verb",2,"cruzar","gå genom",1,12
"57","Path","Path verb",3,"entrar","gå in i",1,12
"57","Path","Path verb",4,"bajar","gå nedför",1,12
"56","Control","Manner verb",1,"tirar de","dra",1,23
"56","Control","Manner verb",2,"arrastrar","ta",0,23
"56","Control","Manner verb",3,"rodar","leverera",0,23
"56","Control","Manner verb",4,"empujar","putta",1,23
"56","Control","Path verb",1,"subir","ta upp",1,23
"56","Control","Path verb",2,"cruzar","gå igenom",1,23
"56","Control","Path verb",3,"entrar","gå in på",1,23
"56","Control","Path verb",4,"bajar","gå nedför",1,23
"55","Manner","Manner verb",1,"tirar de","dra",1,26
"55","Manner","Manner verb",2,"arrastrar","släpa",1,26
"55","Manner","Manner verb",3,"rodar","rulla",1,26
"55","Manner","Manner verb",4,"empujar","skjuta",1,26
"54","Control","Manner verb",1,"tirar de","kasta",0,20
"54","Control","Manner verb",2,"arrastrar","ta bort",0,20
"54","Control","Manner verb",3,"rodar","rulla",1,20
"54","Control","Manner verb",4,"empujar","knuffa",1,20
"54","Control","Path verb",1,"subir","köra uppför",1,20
"54","Control","Path verb",2,"cruzar","gå tvärs över",1,20
"54","Control","Path verb",3,"entrar","gå in i",1,20
"54","Control","Path verb",4,"bajar","gå nerför",1,20
"53","Path","Path verb",1,"subir","gå uppför",1,28
"53","Path","Path verb",2,"cruzar","gå igenom",1,28
"53","Path","Path verb",3,"entrar","gå in på",1,28
"53","Path","Path verb",4,"bajar","gå nerför",1,28
"52","Manner","Manner verb",1,"tirar de","kasta",0,12
"52","Manner","Manner verb",2,"arrastrar","dra",1,12
"52","Manner","Manner verb",3,"rodar","rulla",1,12
"52","Manner","Manner verb",4,"empujar","trycka",1,12
"51","Path","Path verb",1,"subir","gå uppför",1,30
"51","Path","Path verb",2,"cruzar","gå genom",1,30
"51","Path","Path verb",3,"entrar","gå in i",1,30
"51","Path","Path verb",4,"bajar","gå nerför",1,30
"50","Control","Manner verb",1,"tirar de","dra",1,31
"50","Control","Manner verb",2,"arrastrar","dra",1,31
"50","Control","Manner verb",3,"rodar","rulla",1,31
"50","Control","Manner verb",4,"empujar","knuffa",1,31
"50","Control","Path verb",1,"subir","gå uppför",1,31
"50","Control","Path verb",2,"cruzar","gå genom",1,31
"50","Control","Path verb",3,"entrar","gå in på",1,31
"50","Control","Path verb",4,"bajar","gå nerför",1,31
"49","Manner","Manner verb",1,"tirar de","kasta",0,25
"49","Manner","Manner verb",2,"arrastrar","släpa",1,25
"49","Manner","Manner verb",3,"rodar","störa",0,25
"49","Manner","Manner verb",4,"empujar","puffa",1,25
"48","Control","Manner verb",1,"tirar de","kasta",0,34
"48","Control","Manner verb",2,"arrastrar","dra",1,34
"48","Control","Manner verb",3,"rodar","cirkulera",0,34
"48","Control","Manner verb",4,"empujar","knuffa",1,34
"48","Control","Path verb",1,"subir","höja",1,34
"48","Control","Path verb",2,"cruzar","gå genom",1,34
"48","Control","Path verb",3,"entrar","gå in i",1,34
"48","Control","Path verb",4,"bajar","ta ned",1,34
"47","Manner","Manner verb",1,"tirar de","dra",1,26
"47","Manner","Manner verb",2,"arrastrar","lägga ut",0,26
"47","Manner","Manner verb",3,"rodar","springa",0,26
"47","Manner","Manner verb",4,"empujar","putta",1,26
"46","Path","Path verb",1,"subir","gå uppför",1,23
"46","Path","Path verb",2,"cruzar","korsa",1,23
"46","Path","Path verb",3,"entrar","komma in i",1,23
"46","Path","Path verb",4,"bajar","gå nerför",1,23
"45","Manner","Manner verb",1,"tirar de","dra",1,29
"45","Manner","Manner verb",2,"arrastrar","släpa",1,29
"45","Manner","Manner verb",3,"rodar","rulla",1,29
"45","Manner","Manner verb",4,"empujar","knuffa",1,29
"44","Control","Manner verb",1,"tirar de","dra",1,26
"44","Control","Manner verb",2,"arrastrar","dra",1,26
"44","Control","Manner verb",3,"rodar","snurra",1,26
"44","Control","Manner verb",4,"empujar","putta",1,26
"44","Control","Path verb",1,"subir","ta sig uppför",1,26
"44","Control","Path verb",2,"cruzar","gå igenom",1,26
"44","Control","Path verb",3,"entrar","stiga in i",1,26
"44","Control","Path verb",4,"bajar","gå nedför",1,26
"43","Control","Path verb",1,"subir","gå upp på",1,20
"43","Control","Path verb",2,"cruzar","korsa",1,20
"43","Control","Path verb",3,"entrar","gå in i",1,20
"43","Control","Path verb",4,"bajar","gå nerför",1,20
"43","Control","Manner verb",1,"tirar de","dra",1,20
"43","Control","Manner verb",2,"arrastrar","dra",1,20
"43","Control","Manner verb",3,"rodar","rulla",1,20
"43","Control","Manner verb",4,"empujar","skjuta",1,20
"42","Path","Path verb",1,"subir","gå uppför",1,34
"42","Path","Path verb",2,"cruzar","gå genom",1,34
"42","Path","Path verb",3,"entrar","komma in i",1,34
"42","Path","Path verb",4,"bajar","gå nerför",1,34
"41","Path","Path verb",1,"subir","ta sig upp",1,28
"41","Path","Path verb",2,"cruzar","gå igenom",1,28
"41","Path","Path verb",3,"entrar","gå in på",1,28
"41","Path","Path verb",4,"bajar","gå nedför",1,28
"40","Manner","Manner verb",1,"tirar de","dra",1,33
"40","Manner","Manner verb",2,"arrastrar","dra",1,33
"40","Manner","Manner verb",3,"rodar","hjula",1,33
"40","Manner","Manner verb",4,"empujar","knuffa",1,33
"39","Manner","Manner verb",1,"tirar de","kasta sig ut",0,23
"39","Manner","Manner verb",2,"arrastrar","håller i",0,23
"39","Manner","Manner verb",3,"rodar","snurra",1,23
"39","Manner","Manner verb",4,"empujar","knuffa",1,23
"38","Path","Path verb",1,"subir","åka uppför",1,22
"38","Path","Path verb",2,"cruzar","korsa",1,22
"38","Path","Path verb",3,"entrar","gå in på",1,22
"38","Path","Path verb",4,"bajar","gå nerför",1,22
"37","Control","Manner verb",1,"tirar de","dra",1,27
"37","Control","Manner verb",2,"arrastrar","breda ut / skaka",1,27
"37","Control","Manner verb",3,"rodar","rulla",1,27
"37","Control","Manner verb",4,"empujar","putta",1,27
"37","Control","Path verb",1,"subir","gå uppför",1,27
"37","Control","Path verb",2,"cruzar","korsa",1,27
"37","Control","Path verb",3,"entrar","gå in i",1,27
"37","Control","Path verb",4,"bajar","gå nerför",1,27
"36","Control","Manner verb",1,"tirar de","dra i",1,28
"36","Control","Manner verb",2,"arrastrar","lägga ut",0,28
"36","Control","Manner verb",3,"rodar","rulla",1,28
"36","Control","Manner verb",4,"empujar","knuffa",1,28
"36","Control","Path verb",1,"subir","gå uppför",1,28
"36","Control","Path verb",2,"cruzar","korsa",1,28
"36","Control","Path verb",3,"entrar","gå in i",1,28
"36","Control","Path verb",4,"bajar","gå nedför",1,28
"35","Manner","Manner verb",1,"tirar de","dra",1,35
"35","Manner","Manner verb",2,"arrastrar","släpa",1,35
"35","Manner","Manner verb",3,"rodar","rulla",1,35
"35","Manner","Manner verb",4,"empujar","skjuta",1,35
"34","Manner","Manner verb",1,"tirar de","dra",1,3
"34","Manner","Manner verb",2,"arrastrar","dra",1,3
"34","Manner","Manner verb",3,"rodar","rulla",1,3
"34","Manner","Manner verb",4,"empujar","putta",1,3
"33","Control","Manner verb",1,"tirar de","dra",1,17
"33","Control","Manner verb",2,"arrastrar","dra",1,17
"33","Control","Manner verb",3,"rodar","rulla",1,17
"33","Control","Manner verb",4,"empujar","knuffa",1,17
"33","Control","Path verb",1,"subir","gå över",0,17
"33","Control","Path verb",2,"cruzar","korsa",1,17
"33","Control","Path verb",3,"entrar","gå in i",1,17
"33","Control","Path verb",4,"bajar","gå under",0,17
"32","Path","Path verb",1,"subir","bestiga",1,19
"32","Path","Path verb",2,"cruzar","gå igenom",1,19
"32","Path","Path verb",3,"entrar","gå in på",1,19
"32","Path","Path verb",4,"bajar","gå nedför",1,19
"31","Control","Path verb",1,"subir","bestiga",1,30
"31","Control","Path verb",2,"cruzar","korsa",1,30
"31","Control","Path verb",3,"entrar","gå in i",1,30
"31","Control","Path verb",4,"bajar","stiga ned för",1,30
"31","Control","Manner verb",1,"tirar de","kasta från",0,30
"31","Control","Manner verb",2,"arrastrar","dra",1,30
"31","Control","Manner verb",3,"rodar","hjula",1,30
"31","Control","Manner verb",4,"empujar","skjuta",1,30
"30","Path","Path verb",1,"subir","ta upp",1,35
"30","Path","Path verb",2,"cruzar","gå igenom",1,35
"30","Path","Path verb",3,"entrar","gå in på",1,35
"30","Path","Path verb",4,"bajar","gå nedför",1,35
"29","Path","Path verb",1,"subir","gå uppför",1,16
"29","Path","Path verb",2,"cruzar","korsa",1,16
"29","Path","Path verb",3,"entrar","komma in på",1,16
"29","Path","Path verb",4,"bajar","gå ner från",1,16
"28","Manner","Manner verb",1,"tirar de","dra",1,20
"28","Manner","Manner verb",2,"arrastrar","släpa",1,20
"28","Manner","Manner verb",3,"rodar","rulla",1,20
"28","Manner","Manner verb",4,"empujar","skjuta",1,20
"27","Control","Manner verb",1,"tirar de","dra",1,34
"27","Control","Manner verb",2,"arrastrar","dra",1,34
"27","Control","Manner verb",3,"rodar","rulla",1,34
"27","Control","Manner verb",4,"empujar","fösa",1,34
"27","Control","Path verb",1,"subir","gå uppför",1,34
"27","Control","Path verb",2,"cruzar","gå över",1,34
"27","Control","Path verb",3,"entrar","gå in på",1,34
"27","Control","Path verb",4,"bajar","gå nerför",1,34
"26","Manner","Manner verb",1,"tirar de","dra",1,21
"26","Manner","Manner verb",2,"arrastrar","dra",1,21
"26","Manner","Manner verb",3,"rodar","rulla",1,21
"26","Manner","Manner verb",4,"empujar","trycka",1,21
"25","Control","Manner verb",1,"tirar de","dra",1,26
"25","Control","Manner verb",2,"arrastrar","dra",1,26
"25","Control","Manner verb",3,"rodar","rulla",1,26
"25","Control","Manner verb",4,"empujar","putta",1,26
"25","Control","Path verb",1,"subir","gå upp i",1,26
"25","Control","Path verb",2,"cruzar","korsa",1,26
"25","Control","Path verb",3,"entrar","gå in i",1,26
"25","Control","Path verb",4,"bajar","gå nerför",1,26
"24","Path","Path verb",1,"subir","gå uppför",1,18
"24","Path","Path verb",2,"cruzar","gå igenom",1,18
"24","Path","Path verb",3,"entrar","gå in i",1,18
"24","Path","Path verb",4,"bajar","gå nerför",1,18
"23","Manner","Manner verb",1,"tirar de","släpa",1,30
"23","Manner","Manner verb",2,"arrastrar","släpa",1,30
"23","Manner","Manner verb",3,"rodar","rulla",1,30
"23","Manner","Manner verb",4,"empujar","knuffa",1,30
"22","Path","Path verb",1,"subir","gå uppför",1,26
"22","Path","Path verb",2,"cruzar","korsa",1,26
"22","Path","Path verb",3,"entrar","gå in i",1,26
"22","Path","Path verb",4,"bajar","gå nerför",1,26
"21","Path","Path verb",1,"subir","gå uppför",1,16
"21","Path","Path verb",2,"cruzar","passera",1,16
"21","Path","Path verb",3,"entrar","gå in i",1,16
"21","Path","Path verb",4,"bajar","stiga nedför",1,16
"20","Manner","Manner verb",1,"tirar de","dra",1,31
"20","Manner","Manner verb",2,"arrastrar","dra",1,31
"20","Manner","Manner verb",3,"rodar","rulla",1,31
"20","Manner","Manner verb",4,"empujar","knuffa",1,31
"19","Control","Manner verb",1,"tirar de","slänga",0,18
"19","Control","Manner verb",2,"arrastrar","dra",1,18
"19","Control","Manner verb",3,"rodar","rulla",1,18
"19","Control","Manner verb",4,"empujar","putta",1,18
"19","Control","Path verb",1,"subir","ta upp",1,18
"19","Control","Path verb",2,"cruzar","korsa",1,18
"19","Control","Path verb",3,"entrar","in i",1,18
"19","Control","Path verb",4,"bajar","ta ner",1,18
"18","Control","Manner verb",1,"tirar de","slänga ner",0,27
"18","Control","Manner verb",2,"arrastrar","få tag på",0,27
"18","Control","Manner verb",3,"rodar","ta",0,27
"18","Control","Manner verb",4,"empujar","ta upp",0,27
"18","Control","Path verb",1,"subir","gå uppför",1,27
"18","Control","Path verb",2,"cruzar","gå genom",1,27
"18","Control","Path verb",3,"entrar","gå in i",1,27
"18","Control","Path verb",4,"bajar","gå nerför",1,27
"17","Path","Path verb",1,"subir","gå uppför",1,24
"17","Path","Path verb",2,"cruzar","gå igenom",1,24
"17","Path","Path verb",3,"entrar","gå in på",1,24
"17","Path","Path verb",4,"bajar","gå nerför",1,24
"16","Manner","Manner verb",1,"tirar de","dra",1,29
"16","Manner","Manner verb",2,"arrastrar","dra",1,29
"16","Manner","Manner verb",3,"rodar","rulla",1,29
"16","Manner","Manner verb",4,"empujar","putta",1,29
"15","Manner","Manner verb",1,"tirar de","dra",1,34
"15","Manner","Manner verb",2,"arrastrar","släpa",1,34
"15","Manner","Manner verb",3,"rodar","rulla",1,34
"15","Manner","Manner verb",4,"empujar","skjuta",1,34
"14","Path","Path verb",1,"subir","gå uppför",1,2
"14","Path","Path verb",2,"cruzar","gå genom",1,2
"14","Path","Path verb",3,"entrar","komma in på",1,2
"14","Path","Path verb",4,"bajar","gå nerför",1,2
"13","Path","Path verb",1,"subir","ta sig uppför",1,10
"13","Path","Path verb",2,"cruzar","korsa",1,10
"13","Path","Path verb",3,"entrar","gå in på",1,10
"13","Path","Path verb",4,"bajar","gå nerför",1,10
"12","Control","Manner verb",1,"tirar de","dra i",1,33
"12","Control","Manner verb",2,"arrastrar","dra",1,33
"12","Control","Manner verb",3,"rodar","rulla",1,33
"12","Control","Manner verb",4,"empujar","skjuta",1,33
"12","Control","Path verb",1,"subir","åka uppför",1,33
"12","Control","Path verb",2,"cruzar","korsa",1,33
"12","Control","Path verb",3,"entrar","komma in i",1,33
"12","Control","Path verb",4,"bajar","komma nerför",1,33
"11","Control","Manner verb",1,"tirar de","slänga sig",0,28
"11","Control","Manner verb",2,"arrastrar","dra",1,28
"11","Control","Manner verb",3,"rodar","rulla",1,28
"11","Control","Manner verb",4,"empujar","knuffa",1,28
"11","Control","Path verb",1,"subir","gå upp i",1,28
"11","Control","Path verb",2,"cruzar","korsa",1,28
"11","Control","Path verb",3,"entrar","gå in på",1,28
"11","Control","Path verb",4,"bajar","gå nedför",1,28
"10","Manner","Manner verb",1,"tirar de","dra från",1,7
"10","Manner","Manner verb",2,"arrastrar","släpa",1,7
"10","Manner","Manner verb",3,"rodar","rulla",1,7
"10","Manner","Manner verb",4,"empujar","knuffa",1,7
"9","Path","Path verb",1,"subir","gå uppför",1,34
"9","Path","Path verb",2,"cruzar","gå genom",1,34
"9","Path","Path verb",3,"entrar","gå in på",1,34
"9","Path","Path verb",4,"bajar","gå nerför",1,34
"8","Manner","Manner verb",1,"tirar de","dra",1,20
"8","Manner","Manner verb",2,"arrastrar","släpa",1,20
"8","Manner","Manner verb",3,"rodar","rulla",1,20
"8","Manner","Manner verb",4,"empujar","putta",1,20
"7","Control","Manner verb",1,"tirar de","göra sönder",0,14
"7","Control","Manner verb",2,"arrastrar","hysta",0,14
"7","Control","Manner verb",3,"rodar","rulla",1,14
"7","Control","Manner verb",4,"empujar","skjuta",1,14
"7","Control","Path verb",1,"subir","gå upp",1,14
"7","Control","Path verb",2,"cruzar","gå genom",1,14
"7","Control","Path verb",3,"entrar","gå in på",1,14
"7","Control","Path verb",4,"bajar","lasta",0,14
"6","Path","Path verb",1,"subir","klättra upp",1,27
"6","Path","Path verb",2,"cruzar","gå igenom",1,27
"6","Path","Path verb",3,"entrar","gå in på",1,27
"6","Path","Path verb",4,"bajar","gå nedför",1,27
"5","Manner","Manner verb",1,"tirar de","kasta",0,30
"5","Manner","Manner verb",2,"arrastrar","dra",1,30
"5","Manner","Manner verb",3,"rodar","rulla",1,30
"5","Manner","Manner verb",4,"empujar","putta",1,30
"4","Control","Path verb",1,"subir","lyfta",1,5
"4","Control","Path verb",2,"cruzar","[no verb]",0,5
"4","Control","Path verb",3,"entrar","göra entré",1,5
"4","Control","Path verb",4,"bajar","sänka",1,5
"4","Control","Manner verb",1,"tirar de","kasta",0,5
"4","Control","Manner verb",2,"arrastrar","[no verb]",0,5
"4","Control","Manner verb",3,"rodar","hjula",1,5
"4","Control","Manner verb",4,"empujar","putta",1,5
"3","Path","Path verb",1,"subir","gå uppför",1,26
"3","Path","Path verb",2,"cruzar","passera",1,26
"3","Path","Path verb",3,"entrar","gå in i",1,26
"3","Path","Path verb",4,"bajar","gå nerför",1,26
"2","Control","Path verb",1,"subir","",0,12
"2","Control","Path verb",2,"cruzar","korsa",1,12
"2","Control","Path verb",3,"entrar","komma",0,12
"2","Control","Path verb",4,"bajar","ta ner",1,12
"2","Control","Manner verb",1,"tirar de","kasta",0,12
"2","Control","Manner verb",2,"arrastrar","",0,12
"2","Control","Manner verb",3,"rodar","",0,12
"2","Control","Manner verb",4,"empujar","skjuta",1,12
"1","Manner","Manner verb",1,"tirar de","dra",1,29
"1","Manner","Manner verb",2,"arrastrar","dra",1,29
"1","Manner","Manner verb",3,"rodar","rulla",1,29
"1","Manner","Manner verb",4,"empujar","putta",1,29
