Subject,Condition,Type,Sentence,Target_verb,Translation,Score,Comment
60,Manner,M,1,tirar de,dra,,
60,Manner,M,2,arrastrar,släpa,,
60,Manner,M,3,rodar,rulla,,
60,Manner,M,4,empujar,skjuta,,
59,Control,M,1,tirar de,dra,,
59,Control,M,2,arrastrar,släpa,,
59,Control,M,3,rodar,rulla,,
59,Control,M,4,empujar,knuffa,,
59,Control,P,1,subir,gå uppför,,
59,Control,P,2,cruzar,gå igenom,,
59,Control,P,3,entrar,gå in i,,
59,Control,P,4,bajar,gå nerför,,
58,Manner,M,1,tirar de,dra,,
58,Manner,M,2,arrastrar,släpa,,
58,Manner,M,3,rodar,rulla,,
58,Manner,M,4,empujar,puffa,,
57,Path,P,1,subir,bestiga,,
57,Path,P,2,cruzar,gå genom,,
57,Path,P,3,entrar,gå in i,,
57,Path,P,4,bajar,gå nedför,,
56,Control,M,1,tirar de,dra,,
56,Control,M,2,arrastrar,ta,,
56,Control,M,3,rodar,leverera,,
56,Control,M,4,empujar,putta,,unsure if putta or puffa
56,Control,P,1,subir,ta upp,,
56,Control,P,2,cruzar,gå igenom,,
56,Control,P,3,entrar,gå in på,,
56,Control,P,4,bajar,gå nedför,,
55,Manner,M,1,tirar de,dra,,
55,Manner,M,2,arrastrar,släpa,,
55,Manner,M,3,rodar,rulla,,
55,Manner,M,4,empujar,skjuta,,
54,Control,M,1,tirar de,kasta,,unsure of writing
54,Control,M,2,arrastrar,ta bort,,
54,Control,M,3,rodar,rulla,,
54,Control,M,4,empujar,knuffa,,
54,Control,P,1,subir,köra uppför,,
54,Control,P,2,cruzar,gå tvärs över,,
54,Control,P,3,entrar,gå in i,,
54,Control,P,4,bajar,gå nerför,,
53,Path,P,1,subir,gå uppför,,
53,Path,P,2,cruzar,gå igenom,,
53,Path,P,3,entrar,gå in på,,
53,Path,P,4,bajar,gå nerför,,
52,Manner,M,1,tirar de,kasta,,
52,Manner,M,2,arrastrar,dra,,
52,Manner,M,3,rodar,rulla,,
52,Manner,M,4,empujar,trycka,,
51,Path,P,1,subir,gå uppför,,
51,Path,P,2,cruzar,gå genom,,
51,Path,P,3,entrar,gå in i,,
51,Path,P,4,bajar,gå nerför,,
50,Control,M,1,tirar de,dra,,
50,Control,M,2,arrastrar,dra,,
50,Control,M,3,rodar,rulla,,
50,Control,M,4,empujar,knuffa,,
50,Control,P,1,subir,gå uppför,,
50,Control,P,2,cruzar,gå genom,,
50,Control,P,3,entrar,gå in på,,
50,Control,P,4,bajar,gå nerför,,
49,Manner,M,1,tirar de,kasta,,
49,Manner,M,2,arrastrar,släpa,,
49,Manner,M,3,rodar,störa,,
49,Manner,M,4,empujar,puffa,,
48,Control,M,1,tirar de,kasta,,
48,Control,M,2,arrastrar,dra,,
48,Control,M,3,rodar,cirkulera,,
48,Control,M,4,empujar,knuffa,,
48,Control,P,1,subir,höja,,
48,Control,P,2,cruzar,gå genom,,
48,Control,P,3,entrar,gå in i,,
48,Control,P,4,bajar,ta ned,,
47,Manner,M,1,tirar de,dra,,
47,Manner,M,2,arrastrar,lägga ut,,
47,Manner,M,3,rodar,springa,,
47,Manner,M,4,empujar,putta,,puffa?
46,Path,P,1,subir,gå uppför,,
46,Path,P,2,cruzar,korsa,,
46,Path,P,3,entrar,komma in i,,
46,Path,P,4,bajar,gå nerför,,
45,Manner,M,1,tirar de,dra,,
45,Manner,M,2,arrastrar,släpa,,
45,Manner,M,3,rodar,rulla,,
45,Manner,M,4,empujar,knuffa,,
44,Control,M,1,tirar de,dra,,
44,Control,M,2,arrastrar,dra,,
44,Control,M,3,rodar,snurra,,
44,Control,M,4,empujar,putta,,
44,Control,P,1,subir,ta sig uppför,,
44,Control,P,2,cruzar,gå igenom,,
44,Control,P,3,entrar,stiga in i,,illegible
44,Control,P,4,bajar,gå nedför,,
43,Control,P,1,subir,gå upp på,,
43,Control,P,2,cruzar,korsa,,
43,Control,P,3,entrar,gå in i,,
43,Control,P,4,bajar,gå nerför,,
43,Control,M,1,tirar de,dra,,
43,Control,M,2,arrastrar,dra,,
43,Control,M,3,rodar,rulla,,
43,Control,M,4,empujar,skjuta,,
42,Path,P,1,subir,gå uppför,,
42,Path,P,2,cruzar,gå genom,,
42,Path,P,3,entrar,komma in i,,
42,Path,P,4,bajar,gå nerför,,
41,Path,P,1,subir,ta sig upp,,
41,Path,P,2,cruzar,gå igenom,,
41,Path,P,3,entrar,gå in på,,
41,Path,P,4,bajar,gå nedför,,
40,Manner,M,1,tirar de,dra,,
40,Manner,M,2,arrastrar,dra,,
40,Manner,M,3,rodar,hjula,,illegible
40,Manner,M,4,empujar,knuffa,,
39,Manner,M,1,tirar de,kasta sig ut,,
39,Manner,M,2,arrastrar,håller i,,
39,Manner,M,3,rodar,snurra,,
39,Manner,M,4,empujar,knuffa,,
38,Path,P,1,subir,åka uppför,,
38,Path,P,2,cruzar,korsa,,
38,Path,P,3,entrar,gå in på,,
38,Path,P,4,bajar,gå nerför,,
37,Control,M,1,tirar de,dra,,
37,Control,M,2,arrastrar,breda ut / skaka,,"has ""skakar?"" in parenthesis"
37,Control,M,3,rodar,rulla,,
37,Control,M,4,empujar,putta,,
37,Control,P,1,subir,gå uppför,,
37,Control,P,2,cruzar,korsa,,
37,Control,P,3,entrar,gå in i,,
37,Control,P,4,bajar,gå nerför,,
36,Control,M,1,tirar de,dra i,,
36,Control,M,2,arrastrar,lägga ut,,
36,Control,M,3,rodar,rulla,,
36,Control,M,4,empujar,knuffa,,"might say ""upp"" after verb. Hard to read."
36,Control,P,1,subir,gå uppför,,
36,Control,P,2,cruzar,korsa,,
36,Control,P,3,entrar,gå in i,,
36,Control,P,4,bajar,gå nedför,,
35,Manner,M,1,tirar de,dra,,
35,Manner,M,2,arrastrar,släpa,,
35,Manner,M,3,rodar,rulla,,
35,Manner,M,4,empujar,skjuta,,
34,Manner,M,1,tirar de,dra,,
34,Manner,M,2,arrastrar,dra,,
34,Manner,M,3,rodar,rulla,,
34,Manner,M,4,empujar,putta,,
33,Control,M,1,tirar de,dra,,
33,Control,M,2,arrastrar,dra,,
33,Control,M,3,rodar,rulla,,
33,Control,M,4,empujar,knuffa,,
33,Control,P,1,subir,gå över,,
33,Control,P,2,cruzar,korsa,,
33,Control,P,3,entrar,gå in i,,
33,Control,P,4,bajar,gå under,,
32,Path,P,1,subir,bestiga,,
32,Path,P,2,cruzar,gå igenom,,
32,Path,P,3,entrar,gå in på,,
32,Path,P,4,bajar,gå nedför,,
31,Control,P,1,subir,bestiga,,
31,Control,P,2,cruzar,korsa,,participant provides two verbs
31,Control,P,3,entrar,gå in i,,
31,Control,P,4,bajar,stiga ned för,,
31,Control,M,1,tirar de,kasta från,,
31,Control,M,2,arrastrar,dra,,
31,Control,M,3,rodar,hjula,,
31,Control,M,4,empujar,skjuta,,unsure of verb- handwriting
30,Path,P,1,subir,ta upp,,
30,Path,P,2,cruzar,gå igenom,,
30,Path,P,3,entrar,gå in på,,
30,Path,P,4,bajar,gå nedför,,
29,Path,P,1,subir,gå uppför,,
29,Path,P,2,cruzar,korsa,,
29,Path,P,3,entrar,komma in på,,
29,Path,P,4,bajar,gå ner från,,
28,Manner,M,1,tirar de,dra,,
28,Manner,M,2,arrastrar,släpa,,
28,Manner,M,3,rodar,rulla,,
28,Manner,M,4,empujar,skjuta,,
27,Control,M,1,tirar de,dra,,
27,Control,M,2,arrastrar,dra,,
27,Control,M,3,rodar,rulla,,
27,Control,M,4,empujar,fösa,,
27,Control,P,1,subir,gå uppför,,
27,Control,P,2,cruzar,gå över,,
27,Control,P,3,entrar,gå in på,,
27,Control,P,4,bajar,gå nerför,,
26,Manner,M,1,tirar de,dra,,
26,Manner,M,2,arrastrar,dra,,
26,Manner,M,3,rodar,rulla,,
26,Manner,M,4,empujar,trycka,,
25,Control,M,1,tirar de,dra,,
25,Control,M,2,arrastrar,dra,,
25,Control,M,3,rodar,rulla,,
25,Control,M,4,empujar,putta,,
25,Control,P,1,subir,gå upp i,,
25,Control,P,2,cruzar,korsa,,
25,Control,P,3,entrar,gå in i,,
25,Control,P,4,bajar,gå nerför,,
24,Path,P,1,subir,gå uppför,,
24,Path,P,2,cruzar,gå igenom,,
24,Path,P,3,entrar,gå in i,,
24,Path,P,4,bajar,gå nerför,,
23,Manner,M,1,tirar de,släpa,,
23,Manner,M,2,arrastrar,släpa,,
23,Manner,M,3,rodar,rulla,,
23,Manner,M,4,empujar,knuffa,,
22,Path,P,1,subir,gå uppför,,
22,Path,P,2,cruzar,korsa,,
22,Path,P,3,entrar,gå in i,,
22,Path,P,4,bajar,gå nerför,,
21,Path,P,1,subir,gå uppför,,
21,Path,P,2,cruzar,passera,,
21,Path,P,3,entrar,gå in i,,
21,Path,P,4,bajar,stiga nedför,,
20,Manner,M,1,tirar de,dra,,
20,Manner,M,2,arrastrar,dra,,
20,Manner,M,3,rodar,rulla,,
20,Manner,M,4,empujar,knuffa,,
19,Control,M,1,tirar de,slänga,,
19,Control,M,2,arrastrar,dra,,
19,Control,M,3,rodar,rulla,,
19,Control,M,4,empujar,putta,,
19,Control,P,1,subir,ta upp,,
19,Control,P,2,cruzar,korsa,,
19,Control,P,3,entrar,in i,,participant appears to have left out gå
19,Control,P,4,bajar,ta ner,,
18,Control,M,1,tirar de,slänga ner,,
18,Control,M,2,arrastrar,få tag på,,
18,Control,M,3,rodar,ta,,
18,Control,M,4,empujar,ta upp,,
18,Control,P,1,subir,gå uppför,,
18,Control,P,2,cruzar,gå genom,,
18,Control,P,3,entrar,gå in i,,
18,Control,P,4,bajar,gå nerför,,
17,Path,P,1,subir,gå uppför,,
17,Path,P,2,cruzar,gå igenom,,
17,Path,P,3,entrar,gå in på,,
17,Path,P,4,bajar,gå nerför,,
16,Manner,M,1,tirar de,dra,,
16,Manner,M,2,arrastrar,dra,,
16,Manner,M,3,rodar,rulla,,
16,Manner,M,4,empujar,putta,,
15,Manner,M,1,tirar de,dra,,
15,Manner,M,2,arrastrar,släpa,,
15,Manner,M,3,rodar,rulla,,
15,Manner,M,4,empujar,skjuta,,
14,Path,P,1,subir,gå uppför,,
14,Path,P,2,cruzar,gå genom,,
14,Path,P,3,entrar,komma in på,,
14,Path,P,4,bajar,gå nerför,,
13,Path,P,1,subir,ta sig uppför,,
13,Path,P,2,cruzar,korsa,,
13,Path,P,3,entrar,gå in på,,
13,Path,P,4,bajar,gå nerför,,
12,Control,M,1,tirar de,dra i,,
12,Control,M,2,arrastrar,dra,,
12,Control,M,3,rodar,rulla,,
12,Control,M,4,empujar,skjuta,,
12,Control,P,1,subir,åka uppför,,
12,Control,P,2,cruzar,korsa,,
12,Control,P,3,entrar,komma in i,,
12,Control,P,4,bajar,komma nerför,,
11,Control,M,1,tirar de,slänga sig,,
11,Control,M,2,arrastrar,dra,,
11,Control,M,3,rodar,rulla,,
11,Control,M,4,empujar,knuffa,,
11,Control,P,1,subir,gå upp i,,
11,Control,P,2,cruzar,korsa,,
11,Control,P,3,entrar,gå in på,,
11,Control,P,4,bajar,gå nedför,,
10,Manner,M,1,tirar de,dra från,,
10,Manner,M,2,arrastrar,släpa,,
10,Manner,M,3,rodar,rulla,,
10,Manner,M,4,empujar,knuffa,,
9,Path,P,1,subir,gå uppför,,
9,Path,P,2,cruzar,gå genom,,
9,Path,P,3,entrar,gå in på,,
9,Path,P,4,bajar,gå nerför,,
8,Manner,M,1,tirar de,dra,,
8,Manner,M,2,arrastrar,släpa,,
8,Manner,M,3,rodar,rulla,,
8,Manner,M,4,empujar,putta,,
7,Control,M,1,tirar de,göra sönder,,
7,Control,M,2,arrastrar,hysta,,
7,Control,M,3,rodar,rulla,,
7,Control,M,4,empujar,skjuta,,
7,Control,P,1,subir,gå upp,,
7,Control,P,2,cruzar,gå genom,,
7,Control,P,3,entrar,gå in på,,
7,Control,P,4,bajar,lasta,,
6,Path,P,1,subir,klättra upp,,
6,Path,P,2,cruzar,gå igenom,,
6,Path,P,3,entrar,gå in på,,
6,Path,P,4,bajar,gå nedför,,
5,Manner,M,1,tirar de,kasta,,
5,Manner,M,2,arrastrar,dra,,
5,Manner,M,3,rodar,rulla,,
5,Manner,M,4,empujar,putta,,
4,Control,P,1,subir,lyfta,,
4,Control,P,2,cruzar,[no verb],,
4,Control,P,3,entrar,göra entré,,
4,Control,P,4,bajar,sänka,,
4,Control,M,1,tirar de,kasta,,
4,Control,M,2,arrastrar,[no verb],,bad handwriting
4,Control,M,3,rodar,hjula,,
4,Control,M,4,empujar,putta,,
3,Path,P,1,subir,gå uppför,,
3,Path,P,2,cruzar,passera,,
3,Path,P,3,entrar,gå in i,,
3,Path,P,4,bajar,gå nerför,,
2,Control,P,1,subir,,,gave a blank where verb should be
2,Control,P,2,cruzar,korsa,,
2,Control,P,3,entrar,komma,,
2,Control,P,4,bajar,ta ner,,
2,Control,M,1,tirar de,kasta,,
2,Control,M,2,arrastrar,,,
2,Control,M,3,rodar,,,
2,Control,M,4,empujar,skjuta,,
1,Manner,M,1,tirar de,dra,,
1,Manner,M,2,arrastrar,dra,,
1,Manner,M,3,rodar,rulla,,
1,Manner,M,4,empujar,putta,,
